slug,type,author,title,series,number
a-bitter-peace-washington-hanoi-and-the-making-of-the-paris-agreement-asselin,book,Pierre Asselin,"A Bitter Peace: Washington, Hanoi, and the Making of the Paris Agreement",,
the-british-are-coming-atkinson-newbern,audiobook,Rick Atkinson,"The British Are Coming: The War for America, Lexington to Princeton, 1775-1777",,
supply-side-follies-why-conservative-economics-fails-liberal-economics-falters-and-innovation-economics-is-the-answer-atkinson,book,Robert D. Atkinson,"Supply-Side Follies: Why Conservative Economics Fails, Liberal Economics Falters, and Innovation Economics is the Answer",,
suns-strong-immortality-book-one-of-the-elven-lands-atkinson,book,William Illsey Atkinson,Sun's Strong Immortality: Book One of The Elven Lands,,
maddaddam-atwood,book,Margaret Atwood,MaddAddam,,
city-of-glass-auster,book,Paul Auster,City of Glass,,
pump-six-and-other-stories-bacigalupi,book,Paolo Bacigalupi,Pump Six and Other Stories,,
ship-breaker-bacigalupi,book,Paolo Bacigalupi,Ship Breaker,,
the-water-knife-bacigalupi,book,Paolo Bacigalupi,The Water Knife,,
the-windup-girl-bacigalupi,book,Paolo Bacigalupi,The Windup Girl,,
elatsoe-badger-rovina-cai,book,Darcie Little Badger,Elatsoe,,
red-blood-yellow-skin-a-young-girls-survival-in-war-torn-vietnam-baer,book,Linda L.T. Baer,"Red Blood, Yellow Skin: A Young Girl's Survival in War-Torn Vietnam",,
the-arsenal-of-democracy-fdr-ford-motor-company-and-their-epic-quest-to-arm-an-america-at-war-baime,book,A.J. Baime,"The Arsenal of Democracy: FDR, Ford Motor Company, and Their Epic Quest to Arm an America at War",,
apocalypse-world-baker,rpg,D. Vincent Baker,Apocalypse World,,
remembering-heavens-face-a-story-of-rescue-in-wartime-vietnam-balaban,book,John Balaban,Remembering Heaven's Face: A Story of Rescue in Wartime Vietnam,,
the-fire-next-time-vintage-international-baldwin,book,James Baldwin,The Fire Next Time (Vintage International),,
ukraine-zbigs-grand-chessboard-how-the-west-was-checkmated-baldwin-kermit,book,Natylie Baldwin,Ukraine:  Zbig's Grand Chessboard & How the West Was Checkmated,,
concrete-island-ballard,book,J.G. Ballard,Concrete Island,,
high-rise-ballard-ned-beauman,book,J.G. Ballard,High-Rise,,
the-complete-stories-of-jg-ballard-ballard-martin-amis,book,J.G. Ballard,The Complete Stories of J.G. Ballard,,
the-salt-eaters-bambara,book,Toni Cade Bambara,The Salt Eaters,,
body-of-secrets-anatomy-of-the-ultra-secret-national-security-agency-from-the-cold-war-through-the-dawn-of-a-new-century-bamford,book,James Bamford,Body of Secrets: Anatomy of the Ultra-Secret National Security Agency from the Cold War Through the Dawn of a New Century,,
the-shadow-factory-the-ultra-secret-nsa-from-911-to-the-eavesdropping-on-america-bamford,book,James Bamford,The Shadow Factory: The Ultra-Secret NSA from 9/11 to the Eavesdropping on America,,
cortex-prime-game-handbook-banks-amanda-valentine,rpg,Cam Banks,Cortex Prime Game Handbook,,
the-steep-approach-to-garbadale-banks,book,Iain Banks,The Steep Approach to Garbadale,,
look-to-windward-banks,book,Iain M. Banks,Look to Windward,The Culture,7
developing-focus-group-research-politics-theory-and-practice-barbour-jenny-kitzinger,book,Rosaline S. Barbour,"Developing Focus Group Research: Politics, Theory and Practice",,
finity-barnes,book,John Barnes,Finity,,
sextant-the-elegant-instrument-that-guided-the-great-explorers-and-a-young-mans-first-journey-across-the-atlantic-barrie,book,David Barrie,"Sextant: The Elegant Instrument That Guided the Great Explorers, and a Young Man's First Journey Across the Atlantic",,
consulting-start-up-and-management-a-guide-for-evaluators-and-applied-researchers-barrington,book,Gail V. Barrington,Consulting Start-Up and Management: A Guide for Evaluators and Applied Researchers,,
sleeping-worlds-have-no-memory-barsukov,book,Yaroslav Barsukov,Sleeping Worlds Have No Memory,,
tower-of-mud-and-straw-barsukov,book,Yaroslav Barsukov,Tower of Mud and Straw,,
creating-babylon-5-bassom,book,David Bassom,Creating Babylon 5,,
artillery-batchelor-ian-hogg,book,John Batchelor,Artillery,,
artillery-batchelor-ian-v-hogg,book,John Batchelor,Artillery,,
the-power-of-us-harnessing-our-shared-identities-to-improve-performance-increase-cooperation-and-promote-social-harmony-bavel-dominic-j-packer,book,Jay J. Van Bavel,"The Power of Us: Harnessing Our Shared Identities to Improve Performance, Increase Cooperation, and Promote Social Harmony",,
range-of-ghosts-bear,book,Elizabeth Bear,Range of Ghosts,,
