slug,type,author,title,series,number
provenance-imperial-radch-leckie,book,Ann Leckie,Provenance (Imperial Radch),Imperial Radch,4
radiant-star-leckie,book,Ann Leckie,Radiant Star,Imperial Radch,6
the-raven-tower-leckie,book,Ann Leckie,The Raven Tower,,
translation-state-leckie,book,Ann Leckie,Translation State,Imperial Radch,5
acid-dreams-the-cia-lsd-and-the-sixties-rebellion-lee-bruce-shlain,book,Martin A. Lee,"Acid Dreams: The CIA, LSD and the Sixties Rebellion",,
conservation-of-shadows-lee-aliette-de-bodard,book,Yoon Ha Lee,Conservation of Shadows,,
hexarchate-stories-lee,book,Yoon Ha Lee,Hexarchate Stories,Machineries of Empire,4
ninefox-gambit-lee,book,Yoon Ha Lee,Ninefox Gambit,Machineries of Empire,1
raven-stratagem-lee,book,Yoon Ha Lee,Raven Stratagem,Machineries of Empire,2
revenant-gun-lee,book,Yoon Ha Lee,Revenant Gun,Machineries of Empire,3
ill-met-in-lankhmar-and-ship-of-shadows-two-novellas-leiber,book,Fritz Leiber,Ill Met in Lankhmar and Ship of Shadows: Two Novellas,,
the-big-time-leiber,book,Fritz Leiber,The Big Time,,
the-wanderer-leiber,book,Fritz Leiber,The Wanderer,,
tablets-shattered-the-end-of-an-american-jewish-century-and-the-future-of-jewish-life-leifer,book,Joshua Leifer,Tablets Shattered: The End of an American Jewish Century and the Future of Jewish Life,,
superfortress-lemay-yenne,book,Curtis LeMay,Superfortress: The Boeing B-29 and American Airpower in World War II,,
the-instability-of-truth-lemov-nieman,audiobook,Rebecca Lemov,"The Instability of Truth: Brainwashing, Mind Control, and Hyper-Persuasion",,
fire-in-the-hole-raylan-givens-25-leonard,book,Elmore Leonard,"Fire in the Hole (Raylan Givens, #2.5)",,
mastery-the-keys-to-success-and-long-term-fulfillment-leonard,audiobook,George Leonard,Mastery: The Keys to Success and Long-Term Fulfillment,,
if-then-how-the-simulmatics-corporation-invented-the-future-lepore,book,Jill Lepore,If Then: How the Simulmatics Corporation Invented the Future,,
gun-with-occasional-music-lethem,book,Jonathan Lethem,"Gun, With Occasional Music",,
a-journey-through-oligarch-valley-levine,book,Yasha Levine,A Journey Through Oligarch Valley,,
the-box-how-the-shipping-container-made-the-world-smaller-and-the-world-economy-bigger-levinson,book,Marc Levinson,The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger,,
two-gun-cohen-a-biography-levy,book,Daniel S. Levy,Two-Gun Cohen: A Biography,,
love-and-sex-with-robots-levy,book,David N.L. Levy,Love and Sex with Robots,,
facebook-the-inside-story-levy,book,Steven Levy,Facebook: The Inside Story,,
churchills-shadow-raiders-the-race-to-develop-radar-world-war-iis-invisible-secret-weapon-lewis,book,Damien Lewis,"Churchill's Shadow Raiders: The Race to Develop Radar, World War II's Invisible Secret Weapon",,
the-first-sister-lewis,book,Linden A. Lewis,The First Sister,The First Sister,1
the-last-hero-lewis,book,Linden A. Lewis,The Last Hero,The First Sister,3
the-second-rebel-lewis,book,Linden A. Lewis,The Second Rebel,The First Sister,2
going-infinite-the-rise-and-fall-of-a-new-tycoon-lewis,book,Michael Lewis,Going Infinite: The Rise and Fall of a New Tycoon,,
the-big-short-inside-the-doomsday-machine-lewis,book,Michael Lewis,The Big Short: Inside the Doomsday Machine,,
disability-as-a-social-construct-legislative-roots-liachowitz,book,Claire H. Liachowitz,Disability as a Social Construct: Legislative Roots,,
unrestricted-warfare-chinas-master-plan-to-destroy-america-liang-wang-xiangsui,book,Qiao Liang,Unrestricted Warfare: China's Master Plan to Destroy America,,
the-emotional-life-of-the-toddler-lieberman,book,Alicia F. Lieberman,The Emotional Life of the Toddler,,
power-lines-electricity-in-american-life-and-letters-18821952-lieberman,book,Jennifer L. Lieberman,"Power Lines: Electricity in American Life and Letters, 1882–1952",,
a-job-to-love-the-school-of-life-library-life,book,The School of Life,A Job to Love (The School of Life Library),,
changer-lindskold,book,Jane Lindskold,Changer,,
magic-for-beginners-link-shelley-jackson,book,Kelly Link,Magic for Beginners,,
war-plan-red-the-united-states-secret-plans-to-invade-canada-and-canadas-secret-plans-to-invade-the-united-states-lippert,book,Kevin Lippert,War Plan Red: The United States' Secret Plans to Invade Canada and Canada's Secret Plans to Invade the United States,,
fighting-for-time-lipsman-edward-doyle,book,Samuel Lipsman,Fighting for Time,,
discovering-scarfolk-for-tourists-other-trespassers-littler,book,Richard Littler,Discovering Scarfolk: For Tourists & Other Trespassers,,
the-grace-of-kings-liu,book,Ken Liu,The Grace of Kings,,
the-paper-menagerie-and-other-stories-liu,book,Ken Liu,The Paper Menagerie and Other Stories,,
crossing-the-bar-the-adventures-of-a-san-francisco-bay-bar-pilot-lobo,book,Paul Lobo,Crossing the Bar: The Adventures of a San Francisco Bay Bar Pilot,,
embers-of-war-the-fall-of-an-empire-and-the-making-of-americas-vietnam-logevall,book,Fredrik Logevall,Embers Of War: The Fall of an Empire and the Making of America's Vietnam,,
the-new-disability-history-american-perspectives-the-history-of-disability-6-longmore-lauri-umansky,book,Paul K. Longmore,"The New Disability History: American Perspectives (The History of Disability, 6)",,
lancer-the-mech-rpg-core-rulebook-lopez-tom-parkinson-morgan,rpg,Miguel Lopez,Lancer: The Mech RPG Core Rulebook,,
lonely-vigil-coastwatchers-of-the-solomons-lord,book,Walter Lord,Lonely Vigil: Coastwatchers of the Solomons,,
the-secret-life-of-groceries-the-dark-miracle-of-the-american-supermarket-lorr,book,Benjamin Lorr,The Secret Life of Groceries: The Dark Miracle of the American Supermarket,,
law-of-attraction-the-science-of-attracting-more-of-what-you-want-and-less-of-what-you-dont-losier,book,Michael J. Losier,Law of Attraction: The Science of Attracting More of What You Want and Less of What You Don't,,
ethics-and-data-science-loukides-hilary-mason,book,Mike Loukides,Ethics and Data Science,,
tales-of-horror-lovecraft-kenneth-c-mondschein,book,H.P. Lovecraft,Tales of Horror,,
burndive-lowachee,book,Karin Lowachee,Burndive,,
savage-continent-europe-in-the-aftermath-of-world-war-ii-lowe,book,Keith Lowe,Savage Continent: Europe in the Aftermath of World War II,,
how-to-talk-to-anyone-92-little-tricks-for-big-success-in-relationships-lowndes,book,Leil Lowndes,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,,
future-scouting-how-to-design-future-inventions-to-change-today-by-combining-speculative-design-design-fiction-design-thinking-life-centred-design-and-science-fiction-lutz,book,Damien Lutz,"Future Scouting: How to design future inventions to change today by combining speculative design, design fiction, design thinking, life-centred design, and science fiction",,
in-the-stacks-lynch,book,Scott Lynch,In the Stacks,,
the-republic-of-thieves-lynch,book,Scott Lynch,The Republic of Thieves,Locke Lamora,3
everything-must-go-the-stories-we-tell-about-the-end-of-the-world-lynskey,audiobook,Dorian Lynskey,Everything Must Go: The Stories We Tell About the End of the World,,
unplug-and-play-the-ultimate-illustrated-guide-to-roughhousing-with-your-kids-md-lawrence-j-cohen-phd,book,Anthony T. DeBenedet M.D.,Unplug and Play: The Ultimate Illustrated Guide to Roughhousing with Your Kids,,
severance-ma,book,Ling Ma,Severance,,
the-prince-machiavelli-nh-thompson,book,Niccolò Machiavelli,The Prince,,
the-prince-machiavelli-rufus-goodwin,book,Niccolò Machiavelli,The Prince,,
in-ascension-macinnes,book,Martin MacInnes,In Ascension,,
a-spy-among-friends-kim-philby-and-the-great-betrayal-macintyre-john-le-carre,book,Ben Macintyre,A Spy Among Friends: Kim Philby and the Great Betrayal,,
the-man-who-would-be-king-the-first-american-in-afghanistan-macintyre,book,Ben Macintyre,The Man Who Would Be King: The First American in Afghanistan,,
ice-station-zebra-maclean,book,Alistair MacLean,Ice Station Zebra,,
fire-on-the-mountain-the-true-story-of-the-south-canyon-fire-maclean,book,John N. Maclean,Fire on the Mountain: The True Story of the South Canyon Fire,,
song-of-time-macleod,book,Ian R. MacLeod,Song of Time,,
blowout-maddow,book,Rachel Maddow,Blowout,,
the-mountains-sing-mai,book,Nguyễn Phan Quế Mai,The Mountains Sing,,
raising-the-stakes-maitland,book,Terrence Maitland,Raising the Stakes,,
negotiating-the-impossible-how-to-break-deadlocks-and-resolve-ugly-conflicts-without-money-or-muscle-malhotra,book,Deepak Malhotra,Negotiating the Impossible: How to Break Deadlocks and Resolve Ugly Conflicts (without Money or Muscle),,
mercenaries-and-their-masters-warfare-in-renaissance-italy-mallett,book,Michael Edward Mallett,Mercenaries and their Masters: Warfare in Renaissance Italy,,
how-to-blow-up-a-pipeline-malm,book,Andreas Malm,How to Blow Up a Pipeline,,
the-peoples-republic-of-everything-mamatas-jeffrey-ford,book,Nick Mamatas,The People’s Republic of Everything,,
american-caesar-douglas-macarthur-1880-1964-manchester,book,William Manchester,American Caesar: Douglas MacArthur 1880-1964,,
the-tunnels-of-cu-chi-mangold-john-penycate,book,Tom Mangold,The Tunnels of Cu Chi,,
1491-new-revelations-of-the-americas-before-columbus-mann,book,Charles C. Mann,1491: New Revelations of the Americas Before Columbus,,
gestalt-therapy-mann,book,David Mann,Gestalt Therapy: 100 Key Points and Techniques,,
heat-2-mann-meg-gardiner,book,Michael Mann,Heat 2,,
models-attract-women-through-honesty-manson,book,Mark Manson,Models: Attract Women Through Honesty,,
wolf-hall-mantel,audiobook,Hilary Mantel,Wolf Hall,,
the-promise-and-the-dream-the-untold-story-of-martin-luther-king-jr-and-robert-f-kennedy-margolick-douglas-brinkley,book,David Margolick,"The Promise and the Dream: The Untold Story of Martin Luther King, Jr. And Robert F. Kennedy",,
domain-driven-design-quickly-marinescu-abel-avram,book,Floyd Marinescu,Domain-Driven Design Quickly,,
what-the-dormouse-said-how-the-sixties-counterculture-shaped-the-personal-computer-industry-markoff,book,John Markoff,What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry,,
matterhorn-marlantes,book,Karl Marlantes,Matterhorn,,
what-it-is-like-to-go-to-war-marlantes,book,Karl Marlantes,What It is Like to Go to War,,
the-plane-below-secrets-of-the-elemental-chaos-a-4th-edition-dd-supplement-marmell-bruce-r-cordell,rpg,Ari Marmell,The Plane Below: Secrets of the Elemental Chaos: A 4th Edition D&D Supplement,,
pork-chop-hill-marshall,book,S.L.A. Marshall,Pork Chop Hill,,
wilderness-of-mirrors-intrigue-deception-and-the-secrets-that-destroyed-two-of-the-cold-wars-most-important-agents-martin,book,David C. Martin,"Wilderness of Mirrors: Intrigue, Deception, and the Secrets that Destroyed Two of the Cold War's Most Important Agents",,
a-dance-with-dragons-martin,book,George R.R. Martin,A Dance with Dragons,,
a-knight-of-the-seven-kingdoms-the-tales-of-dunk-and-egg-1-3-martin-gary-gianni,book,George R.R. Martin,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)",,
rogues-martin-gardner-dozois,book,George R.R. Martin,Rogues,,
tuf-voyaging-martin,book,George R.R. Martin,Tuf Voyaging,,
warriors-1-martin-gardner-dozois,book,George R.R. Martin,Warriors 1,,
predator-the-remote-control-air-war-over-iraq-and-afghanistan-a-pilots-story-martin-charles-sasser,book,Matthew J. Martin,Predator: The Remote-Control Air War Over Iraq and Afghanistan: A Pilot's Story,,
a-desolation-called-peace-martine,book,Arkady Martine,A Desolation Called Peace,Teixcalaan,2
a-memory-called-empire-martine,book,Arkady Martine,A Memory Called Empire,Teixcalaan,1
the-tongue-trade-martineck,book,Michael J. Martineck,The Tongue Trade,,
working-futures-14-speculative-stories-about-the-future-of-work-masnick-keyan-bowes,book,Mike Masnick,Working Futures: 14 Speculative Stories About The Future Of Work,,
chickenhawk-mason,book,Robert Mason,Chickenhawk,,
void-star-mason,book,Zachary Mason,Void Star,,
i-am-legend-the-omega-man-medallion-s2041-matheson,book,Richard Matheson,I Am Legend / The Omega Man (Medallion S2041),,
roman-aristocrats-in-barbarian-gaul-strategies-for-survival-in-an-age-of-transition-mathisen,book,Ralph W. Mathisen,Roman Aristocrats in Barbarian Gaul: Strategies for Survival in an Age of Transition,,
hard-wired-island-matijevic-freyja-erlingsdottir,rpg,Paul Matijevic,Hard Wired Island,,
a-storm-of-spears-matthew,book,Christopher Matthew,A Storm of Spears,,
the-universe-replied-mattox,book,Brendan Mattox,The Universe Replied: An Oral History of Romance Is Boring by Los Campesinos!,,
infinite-detail-maughan,book,Tim Maughan,Infinite Detail,,
paintwork-maughan,book,Tim Maughan,Paintwork,,
up-front-mauldin-stephen-e-ambrose,book,Bill Mauldin,Up Front,,
the-big-con-the-story-of-the-confidence-man-maurer-lucy-sante,book,David W. Maurer,The Big Con: The Story of the Confidence Man,,
films-from-the-future-the-technology-and-morality-of-sci-fi-movies-analyzing-the-future-maynard,book,Andrew Maynard,Films from the Future: The Technology and Morality of Sci-Fi Movies (Analyzing the Future),,
a-sword-into-darkness-the-patron-cycle-book-1-mays,book,Thomas A. Mays,A Sword Into Darkness (The Patron Cycle Book 1),,
the-way-of-the-knife-the-cia-a-secret-army-and-a-war-at-the-ends-of-the-earth-mazzetti,book,Mark Mazzetti,"The Way of the Knife: The CIA, a Secret Army, and a War at the Ends of the Earth",,
cowboy-angels-mcauley,book,Paul McAuley,Cowboy Angels,,
the-quiet-war-mcauley,book,Paul McAuley,The Quiet War,,
the-heaven-earth-grocery-store-mcbride,book,James McBride,The Heaven & Earth Grocery Store,,
all-meat-looks-like-south-america-the-world-of-bruce-mccall-mccall,book,Bruce McCall,All Meat Looks Like South America: The World of Bruce McCall,,
team-of-teams-new-rules-of-engagement-for-a-complex-world-mcchrystal-chris-fussell,book,Stanley McChrystal,Team of Teams: New Rules of Engagement for a Complex World,,
the-tango-war-the-struggle-for-the-hearts-minds-and-riches-of-latin-america-during-world-war-ii-mcconahay,book,Mary Jo McConahay,"The Tango War: The Struggle for the Hearts, Minds and Riches of Latin America During World War II",,
rebooting-the-academy-mccormick-jeffrey-young,book,Tim McCormick,Rebooting the Academy,,
1776-mccullough,book,David McCullough,1776,,
mornings-on-horseback-mccullough,book,David McCullough,Mornings on Horseback,,
the-path-between-the-seas-the-creation-of-the-panama-canal-1870-1914-mccullough,book,David McCullough,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",,
the-wright-brothers-mccullough,book,David McCullough,The Wright Brothers,,
moon-rising-mcdonald,book,Ian McDonald,Moon Rising,,
new-moon-mcdonald,book,Ian McDonald,New Moon,,
wolf-moon-mcdonald,book,Ian McDonald,Wolf Moon,,
william-tecumseh-sherman-in-the-service-of-my-country-a-life-mcdonough,book,James Lee McDonough,William Tecumseh Sherman: In the Service of My Country: A Life,,
platoon-leader-a-memoir-of-command-in-combat-mcdonough,book,James R. McDonough,Platoon Leader: A Memoir of Command in Combat,,
cracking-the-coding-interview-189-programming-questions-and-solutions-mcdowell,book,Gayle Laakmann McDowell,Cracking the Coding Interview: 189 Programming Questions and Solutions,,
reality-is-broken-why-games-make-us-better-and-how-they-can-change-the-world-mcgonigal,book,Jane McGonigal,Reality is Broken: Why Games Make Us Better and How They Can Change the World,,
the-party-the-secret-world-of-chinas-communist-rulers-mcgregor,book,Richard McGregor,The Party: The Secret World of China's Communist Rulers,,
every-heart-a-doorway-mcguire,book,Seanan McGuire,Every Heart a Doorway,,
lightspeed-magazine-issue-61-june-2015-queers-destroy-science-fiction-mcguire-john-chu,book,Seanan McGuire,"Lightspeed Magazine, Issue 61, June 2015: Queers Destroy Science Fiction!",,
mothers-other-monsters-stories-mchugh,book,Maureen F. McHugh,Mothers & Other Monsters: Stories,,
dreamsnake-mcintyre,book,Vonda N. McIntyre,Dreamsnake,,
deadly-sky-the-american-combat-airman-in-world-war-ii-mcmanus,book,John C. McManus,Deadly Sky: The American Combat Airman in World War II,,
dereliction-of-duty-lyndon-johnson-robert-mcnamara-the-joint-chiefs-of-staff-and-the-lies-that-led-to-vietnam-mcmaster,book,H.R. McMaster,"Dereliction of Duty: Lyndon Johnson, Robert McNamara, the Joint Chiefs of Staff, and the Lies That Led to Vietnam",,
because-our-fathers-lied-a-memoir-of-truth-and-family-from-vietnam-to-today-mcnamara,book,Craig McNamara,"Because Our Fathers Lied: A Memoir of Truth and Family, from Vietnam to Today",,
the-pursuit-of-power-mcneill,book,William H. McNeill,The Pursuit of Power,,
breach-the-hull-mcphail-jack-mcdevitt,book,Mike McPhail,Breach the Hull,,
battle-cry-of-freedom-the-civil-war-era-mcpherson,book,James M. McPherson,Battle Cry of Freedom: The Civil War Era,,
thinking-in-systems-a-primer-meadows-diana-wright,book,Donella H. Meadows,Thinking In Systems: A Primer,,
terraform-watchworldsburn-merchant-claire-l-evans,book,Brian Merchant,Terraform: Watch/Worlds/Burn,,
where-the-rivers-ran-backward-merritt,book,William E. Merritt,Where the Rivers Ran Backward,,
the-submerged-state-how-invisible-government-policies-undermine-american-democracy-chicago-studies-in-american-politics-mettler,book,Suzanne Mettler,The Submerged State: How Invisible Government Policies Undermine American Democracy (Chicago Studies in American Politics),,
the-borgias-the-hidden-history-meyer,book,G.J. Meyer,The Borgias: The Hidden History,,
across-the-fence-the-secret-war-in-vietnam-expanded-edition-meyer,book,John Stryker Meyer,Across The Fence: The Secret War in Vietnam (Expanded Edition),,
the-ostrich-paradox-why-we-underprepare-for-disasters-meyer-howard-kunreuther,book,Robert Meyer,The Ostrich Paradox: Why We Underprepare for Disasters,,
bringing-down-the-house-the-inside-story-of-six-mit-students-who-took-vegas-for-millions-mezrich,book,Ben Mezrich,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,,
hawking-incorporated-stephen-hawking-and-the-anthropology-of-the-knowing-subject-mialet,book,Helene Mialet,Hawking Incorporated: Stephen Hawking and the Anthropology of the Knowing Subject,,
not-a-gentlemans-war-an-inside-view-of-junior-officers-in-the-vietnam-war-milam,book,Ron Milam,Not a Gentleman's War: An Inside View of Junior Officers in the Vietnam War,,
everything-change-an-anthology-of-climate-fiction-milkoreit-meredith-martinez,book,Manjana Milkoreit,Everything Change: An Anthology of Climate Fiction,,
masters-of-the-air-americas-bomber-boys-who-fought-the-air-war-against-nazi-germany-miller,book,Donald L. Miller,Masters of the Air: America's Bomber Boys Who Fought the Air War Against Nazi Germany,,
passion-of-michel-foucault-miller,book,James Miller,Passion of Michel Foucault,,
the-bridge-at-dong-ha-miller,book,John Grider Miller,The Bridge at Dong Ha,,
the-co-vans-us-marine-advisors-in-vietnam-miller-edwin-h-simmons,book,John Grider Miller,The Co-Vans: U.S. Marine Advisors in Vietnam,,
circe-miller,book,Madeline Miller,Circe,,
weapons-of-mass-destruction-specters-of-the-nuclear-age-miller,book,Martin Miller,Weapons of Mass Destruction: Specters of the Nuclear Age,,
americas-rasputin-walt-rostow-and-the-vietnam-war-milne,book,David Milne,America's Rasputin: Walt Rostow and the Vietnam War,,
churchills-ministry-of-ungentlemanly-warfare-the-mavericks-who-plotted-hitlers-defeat-milton,book,Giles Milton,Churchill's Ministry of Ungentlemanly Warfare: The Mavericks Who Plotted Hitler's Defeat,,
when-churchill-slaughtered-sheep-and-stalin-robbed-a-bank-historys-unknown-chapters-milton,book,Giles Milton,When Churchill Slaughtered Sheep and Stalin Robbed a Bank: History's Unknown Chapters,,
the-cybernetic-samurai-milan,book,Victor Milán,The Cybernetic Samurai,,
arriving-today-from-factory-to-front-door-why-everything-has-changed-about-how-and-what-we-buy-mims,book,Christopher Mims,Arriving Today: From Factory to Front Door-Why Everything Has Changed About How and What We Buy,,
digital-apollo-human-and-machine-in-spaceflight-mindell,book,David A. Mindell,Digital Apollo: Human and Machine in Spaceflight,,
dr-seuss-goes-to-war-the-world-war-ii-editorial-cartoons-of-theodor-seuss-geisel-minear-art-spiegelman,book,Richard H. Minear,Dr. Seuss Goes to War: The World War II Editorial Cartoons of Theodor Seuss Geisel,,
sketches-of-a-black-cat-full-color-collectors-edition-story-of-a-night-flying-wwii-pilot-and-artist-miner,book,Ron Miner,Sketches of a Black Cat - Full Color Collector's Edition: Story of a night flying WWII pilot and artist,,
stuff-matters-exploring-the-marvelous-materials-that-shape-our-man-made-world-miodownik,book,Mark Miodownik,Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,,
complexity-a-guided-tour-mitchell,book,Melanie Mitchell,Complexity: A Guided Tour,,
forgotten-ally-chinas-world-war-ii-1937-1945-mitter,book,Rana Mitter,"Forgotten Ally: China's World War II, 1937-1945",,
embassytown-mieville,book,China Miéville,Embassytown,,
king-rat-mieville,book,China Miéville,King Rat,,
railsea-mieville,book,China Miéville,Railsea,,
the-city-the-city-mieville,book,China Miéville,The City & the City,,
the-scar-mieville,book,China Miéville,The Scar,New Crobuzon,2
voice-lessons-for-parents-what-to-say-how-to-say-it-and-when-to-listen-mogel,book,Wendy Mogel,"Voice Lessons for Parents: What to Say, How to Say it, and When to Listen",,
no-one-will-come-back-for-us-and-other-stories-mohamed,book,Premee Mohamed,No One Will Come Back For Us and Other Stories,,
the-body-multiple-ontology-in-medical-practice-science-and-cultural-theory-mol,book,Annemarie Mol,The Body Multiple: Ontology in Medical Practice (Science and Cultural Theory),,
cultish-the-language-of-fanaticism-montell,book,Amanda Montell,Cultish: The Language of Fanaticism,,
marque-and-reprisal-moon,book,Elizabeth Moon,Marque and Reprisal,Vatta’s War,2
trading-in-danger-moon,book,Elizabeth Moon,Trading in Danger,Vatta’s War,1
best-sf-stories-from-new-worlds-vol-2-moorcock,book,Michael Moorcock,"Best SF Stories from New Worlds, Vol. 2",,
watchmen-moore-dave-gibbons,book,Alan Moore,Watchmen,,
the-amphetamine-debate-the-use-of-adderall-ritalin-and-related-drugs-for-behavior-modification-neuroenhancement-and-anti-aging-purposes-mcfarland-health-topics-moore,book,Elaine A. Moore,"The Amphetamine Debate: The Use of Adderall, Ritalin and Related Drugs for Behavior Modification, Neuroenhancement and Anti-Aging Purposes (McFarland Health Topics)",,
we-were-soldiers-once-and-young-ia-drang-the-battle-that-changed-the-war-in-vietnam-moore-joseph-l-galloway,book,Harold G. Moore,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,,
the-green-berets-the-amazing-story-of-the-u-s-armys-elite-special-forces-unit-moore,book,Robin Moore,The Green Berets: The Amazing Story of the U. S. Army's Elite Special Forces Unit,,
battle-of-the-linguist-mages-moore,book,Scotto Moore,Battle of the Linguist Mages,,
future-daddy-the-ultimate-guide-for-first-time-dads-mooring,book,Andres Mooring,Future Daddy The Ultimate Guide For First Time Dads,,
blowing-my-cover-my-life-as-a-cia-spy-moran,book,Lindsay Moran,Blowing My Cover: My Life as a CIA Spy,,
altered-carbon-morgan,book,Richard K. Morgan,Altered Carbon,,
thirteen-morgan,book,Richard K. Morgan,Thirteen,,
ghost-spin-moriarty,book,Chris Moriarty,Ghost Spin,Spin,3
spin-control-moriarty,book,Chris Moriarty,Spin Control,Spin,2
spin-state-moriarty,book,Chris Moriarty,Spin State,Spin,1
fiasco-morningstar,rpg,Jason Morningstar,Fiasco,,
night-witches-morningstar,rpg,Jason Morningstar,Night Witches,,
the-fiasco-companion-morningstar-steve-segedy,rpg,Jason Morningstar,The Fiasco Companion,,
winterhorn-morningstar,rpg,Jason Morningstar,Winterhorn,,
the-net-delusion-the-dark-side-of-internet-freedom-morozov,book,Evgeny Morozov,The Net Delusion: The Dark Side of Internet Freedom,,
rain-of-fire-morrocco-robert-manning,book,John Morrocco,Rain of Fire,,
the-moon-a-history-for-the-future-economist-books-morton-the-economist,book,Oliver Morton,The Moon: A History for the Future (Economist Books),,
the-planet-remade-how-geoengineering-could-change-the-world-morton,book,Oliver Morton,The Planet Remade: How Geoengineering Could Change the World,,
my-year-of-rest-and-relaxation-moshfegh-whelan,audiobook,Ottessa Moshfegh,My Year of Rest and Relaxation,,
futureland-mosley,book,Walter Mosley,Futureland,,
paths-of-innovation-technological-change-in-20th-century-america-mowery-nathan-rosenberg,book,David C. Mowery,Paths of Innovation: Technological Change in 20th-Century America,,
gideon-the-ninth-muir,book,Tamsyn Muir,Gideon the Ninth,The Locked Tomb,1
harrow-the-ninth-muir,book,Tamsyn Muir,Harrow the Ninth,The Locked Tomb,2
nona-the-ninth-muir,book,Tamsyn Muir,Nona the Ninth,The Locked Tomb,3
undercover-muir,book,Tamsyn Muir,Undercover,,
dak-to-americas-sky-soldiers-in-south-vietnams-central-highlands-murphy,book,Edward F. Murphy,Dak To: America's Sky Soldiers in South Vietnam's Central Highlands,,
red-noise-murphy,book,John P. Murphy,Red Noise,,
hearing-the-other-side-deliberative-versus-participatory-democracy-mutz,book,Diana C. Mutz,Hearing the Other Side: Deliberative versus Participatory Democracy,,
cruising-utopia-the-then-and-there-of-queer-futurity-munoz,book,José Esteban Muñoz,Cruising Utopia: The Then and There of Queer Futurity,,
the-moscow-rules-the-secret-cia-tactics-that-helped-america-win-the-cold-war-mendez-jonna-mendez,book,Antonio J. Méndez,The Moscow Rules: The Secret CIA Tactics That Helped America Win the Cold War,,
governmentality-biopower-and-everyday-life-routledge-studies-in-social-and-political-thought-nadesan,book,Majia Holmer Nadesan,"Governmentality, Biopower, and Everyday Life (Routledge Studies in Social and Political Thought)",,
first-light-nagata,book,Linda Nagata,First Light,The Red,1
going-dark-nagata,book,Linda Nagata,Going Dark,The Red,3
the-trials-the-red-trilogy-book-2-nagata,book,Linda Nagata,The Trials (The Red Trilogy Book 2),The Red,2
knife-fights-a-memoir-of-modern-war-in-theory-and-practice-nagl,book,John A. Nagl,Knife Fights: A Memoir of Modern War in Theory and Practice,,
the-making-of-dune-naha,book,Ed Naha,The Making Of Dune,,
36-streets-napper,book,T.R. Napper,36 Streets,,
aliens-napper-,audiobook,T.R. Napper,Aliens: Bishop,,
neon-leviathan-napper,book,T.R. Napper,Neon Leviathan,,
the-escher-man-napper,book,T.R. Napper,The Escher Man,,
wraith-recon-nash,rpg,Pete Nash,Wraith Recon,,
the-mountain-in-the-sea-nayler,book,Ray Nayler,The Mountain in the Sea,,
where-the-axe-is-buried-nayler-wong,audiobook,Ray Nayler,Where the Axe Is Buried,,
sinister-extremity-a-love-story-neill,book,Hugh Neill,Sinister Extremity: A Love Story,,
of-orcas-and-men-blend-of-science-and-activism-arguing-orcas-reveal-the-cost-of-human-exploitation-neiwert,book,David Neiwert,Of Orcas and Men: Blend of science and activism arguing orcas reveal the cost of human exploitation.,,
freezing-people-is-not-easy-my-adventures-in-cryonics-nelson-kenneth-bly,book,Bob Nelson,Freezing People Is (Not) Easy: My Adventures In Cryonics,,
stories-and-their-limits-reflective-bioethics-nelson,book,Hilde Lindemann Nelson,Stories and Their Limits (Reflective Bioethics),,
breath-the-new-science-of-a-lost-art-nestor,audiobook,James Nestor,Breath: The New Science of a Lost Art,,
astounding-john-w-campbell-isaac-asimov-robert-a-heinlein-l-ron-hubbard-and-the-golden-age-of-science-fiction-nevala-lee,book,Alec Nevala-Lee,"Astounding: John W. Campbell, Isaac Asimov, Robert A. Heinlein, L. Ron Hubbard, and the Golden Age of Science Fiction",,
bury-us-upside-down-the-misty-pilots-and-the-secret-battle-for-the-ho-chi-minh-trail-newman-don-shepperd,book,Rick Newman,Bury Us Upside Down: The Misty Pilots and the Secret Battle for the Ho Chi Minh Trail,,
games-agency-as-art-thinking-art-nguyen,book,C. Thi Nguyen,Games: Agency As Art (Thinking Art),,
the-score-nguyen-nguyen,audiobook,C. Thi Nguyen,The Score: How to Stop Playing Somebody Else's Game,,
hanois-war-an-international-history-of-the-war-for-peace-in-vietnam-new-cold-war-history-nguyen,book,Lien-Hang T. Nguyen,Hanoi's War: An International History of the War for Peace in Vietnam (New Cold War History),,
the-committed-nguyen,book,Viet Thanh Nguyen,The Committed,,
the-sympathizer-nguyen,book,Viet Thanh Nguyen,The Sympathizer,,
seize-the-fire-nicolson,book,Adam Nicolson,"Seize the Fire: Heroism, Duty, and Nelson's Battle of Trafalgar",,
wicked-ones-nielson-victor-costa,rpg,Ben Nielson,Wicked Ones,,
the-sorrow-of-war-ninh-phan-thanh-hao,book,Bảo Ninh,The Sorrow of War,,
